startGMT;endGMT;steps;primaryActivityLevel;activityLevelConstant
2021-05-21T03:45:00.0;2021-05-21T04:00:00.0;0;sleeping;true
2021-05-21T04:00:00.0;2021-05-21T04:15:00.0;0;sleeping;true
2021-05-21T04:15:00.0;2021-05-21T04:30:00.0;49;sleeping;false
2021-05-21T04:30:00.0;2021-05-21T04:45:00.0;0;sedentary;true
2021-05-21T04:45:00.0;2021-05-21T05:00:00.0;0;sedentary;true
2021-05-21T05:00:00.0;2021-05-21T05:15:00.0;0;sedentary;true
2021-05-21T05:15:00.0;2021-05-21T05:30:00.0;0;sedentary;true
2021-05-21T05:30:00.0;2021-05-21T05:45:00.0;0;sedentary;true
2021-05-21T05:45:00.0;2021-05-21T06:00:00.0;0;sedentary;true
2021-05-21T06:00:00.0;2021-05-21T06:15:00.0;0;sedentary;true
2021-05-21T06:15:00.0;2021-05-21T06:30:00.0;1074;highlyActive;false
2021-05-21T06:30:00.0;2021-05-21T06:45:00.0;1441;highlyActive;false
2021-05-21T06:45:00.0;2021-05-21T07:00:00.0;0;sedentary;true
2021-05-21T07:00:00.0;2021-05-21T07:15:00.0;0;sedentary;true
2021-05-21T07:15:00.0;2021-05-21T07:30:00.0;0;sedentary;true
2021-05-21T07:30:00.0;2021-05-21T07:45:00.0;0;sedentary;true
2021-05-21T07:45:00.0;2021-05-21T08:00:00.0;0;sedentary;true
2021-05-21T08:00:00.0;2021-05-21T08:15:00.0;0;sedentary;true
2021-05-21T08:15:00.0;2021-05-21T08:30:00.0;0;sedentary;true
2021-05-21T08:30:00.0;2021-05-21T08:45:00.0;0;sedentary;true
2021-05-21T08:45:00.0;2021-05-21T09:00:00.0;0;sedentary;true
2021-05-21T09:00:00.0;2021-05-21T09:15:00.0;0;sedentary;true
2021-05-21T09:15:00.0;2021-05-21T09:30:00.0;0;sedentary;true
2021-05-21T09:30:00.0;2021-05-21T09:45:00.0;0;sedentary;true
2021-05-21T09:45:00.0;2021-05-21T10:00:00.0;0;sedentary;true
