timestamp;stressLevel
1621508040000;-1
1621508220000;-1
1621508400000;-1
1621508580000;-1
1621508760000;-1
1621508940000;-1
1621509120000;-1
1621509300000;-1
1621509480000;-1
1621509660000;-1
1621509840000;-1
1621510020000;-1
1621510200000;-1
1621510380000;-1
1621510560000;-1
1621510740000;-1
1621510920000;-1
1621511100000;-1
1621511280000;-1
1621511460000;-1
1621511640000;-1
1621511820000;-1
1621512000000;-1
1621512180000;-1
1621512360000;-1
1621512540000;-1
1621512720000;-1
1621512900000;-1
1621513080000;-1
1621513260000;-1
1621513440000;-1
1621513620000;-1
1621513800000;-1
1621513980000;-1
1621514160000;-1
1621514340000;-1
1621514520000;-1
1621514700000;-1
1621514880000;-1
1621515060000;-1
1621515240000;-1
1621515420000;-1
1621515600000;-1
1621515780000;-1
1621515960000;-1
1621516140000;-1
1621516320000;-1
1621516500000;-1
1621516680000;-1
1621516860000;-1
1621517040000;-1
1621517220000;-1
1621517400000;-1
1621517580000;-1
1621517760000;-1
1621517940000;-1
1621518120000;-1
1621518300000;-1
1621518480000;-1
1621518660000;-1
1621518840000;-1
1621519020000;-1
1621519200000;-1
1621519380000;-1
1621519560000;-1
1621519740000;-1
1621519920000;-1
1621520100000;-1
1621520280000;-1
1621520460000;-1
1621520640000;-1
1621520820000;-1
1621521000000;-1
1621521180000;-1
1621521360000;-1
1621521540000;-1
1621521720000;-1
1621521900000;-2
1621522080000;77
1621522260000;76
1621522440000;94
1621522620000;-1
1621522800000;-2
1621522980000;-2
1621523160000;-2
1621523340000;-2
1621523520000;-2
1621523700000;-1
1621523880000;-1
1621524060000;-2
1621524240000;63
1621524420000;71
1621524600000;51
1621524780000;16
1621524960000;22
1621525140000;64
1621525320000;-1
1621525500000;-2
1621525680000;-2
1621525860000;-2
1621526040000;-2
1621526220000;-2
1621526400000;-2
1621526580000;-2
1621526760000;-2
1621526940000;-2
1621527120000;-2
1621527300000;-2
1621527480000;-2
1621527660000;-2
1621527840000;-2
1621528020000;-2
1621528200000;-2
1621528380000;-2
1621528560000;-2
1621528740000;-2
1621528920000;-2
1621529100000;-2
1621529280000;-2
1621529460000;-2
1621529640000;-2
1621529820000;-2
1621530000000;-2
1621530180000;-2
1621530360000;-2
1621530540000;-2
1621530720000;-2
1621530900000;-2
1621531080000;-2
1621531260000;-2
1621531440000;-2
1621531620000;-2
1621531800000;-2
1621531980000;-2
1621532160000;-2
1621532340000;-2
1621532520000;-1
1621532700000;70
1621532880000;58
1621533060000;-1
1621533240000;73
1621533420000;-1
1621533600000;-1
1621533780000;74
1621533960000;-1
1621534140000;61
1621534320000;-1
1621534500000;-2
1621534680000;-1
1621534860000;-1
1621535040000;-1
1621535220000;-1
1621535400000;-1
1621535580000;-1
1621535760000;-1
1621535940000;-1
1621536120000;-1
1621536300000;-1
1621536480000;-1
1621536660000;-1
1621536840000;-1
1621537020000;-1
1621537200000;-1
1621537380000;-1
1621537560000;-1
1621537740000;-1
1621537920000;-1
1621538100000;-1
1621538280000;-1
1621538460000;-1
1621538640000;-1
1621538820000;-1
1621539000000;-1
1621539180000;-1
1621539360000;-1
1621539540000;-1
1621539720000;-1
1621539900000;-1
1621540080000;-1
1621540260000;-1
1621540440000;-1
1621540620000;-1
1621540800000;-1
1621540980000;-1
1621541160000;-1
1621541340000;-1
1621541520000;-1
1621541700000;-1
1621541880000;-1
1621542060000;-1
1621542240000;-1
1621542420000;-1
1621542600000;-1
1621542780000;-1
1621542960000;-1
1621543140000;-1
1621543320000;-1
1621543500000;-1
1621543680000;-1
1621543860000;-1
1621544040000;77
1621544220000;-2
1621544400000;26
1621544580000;27
1621544760000;-1
1621544940000;-1
1621545120000;-1
1621545300000;-1
1621545480000;-1
1621545660000;-1
1621545840000;-1
1621546020000;-1
1621546200000;-1
1621546380000;-1
1621546560000;-1
1621546740000;-1
1621546920000;-1
1621547100000;-1
1621547280000;-1
1621547460000;-1
1621547640000;-1
1621547820000;-1
