id;userProfilePK;calendarDate;sleepTimeSeconds;napTimeSeconds;sleepWindowConfirmed;sleepWindowConfirmationType;sleepStartTimestampGMT;sleepEndTimestampGMT;sleepStartTimestampLocal;sleepEndTimestampLocal;autoSleepStartTimestampGMT;autoSleepEndTimestampGMT;sleepQualityTypePK;sleepResultTypePK;unmeasurableSleepSeconds;deepSleepSeconds;lightSleepSeconds;remSleepSeconds;awakeSleepSeconds;deviceRemCapable;retro
1627075020000;4405865;2021-07-24;22920;0;true;enhanced_confirmed_final;1627075020000;1627099560000;1627082220000;1627106760000;1627074720000;1627099500000;;;0;2940;13260;6720;1620;true;false
1627164720000;4405865;2021-07-25;30660;0;true;enhanced_confirmed;1627164720000;1627198260000;1627171920000;1627205460000;1627164360000;1627201920000;;;1860;3060;16440;11160;1020;true;false
1627252260000;4405865;2021-07-26;37200;0;true;auto_confirmed_final;1627252260000;1627289760000;1627259460000;1627296960000;1627252260000;1627289760000;;;0;17100;20100;0;300;true;false
1627334340000;4405865;2021-07-27;30840;0;true;enhanced_confirmed;1627334340000;1627365360000;1627341540000;1627372560000;1627333980000;1627365180000;;;0;3240;20820;6780;180;true;false
1627418220000;4405865;2021-07-28;28320;0;true;enhanced_confirmed;1627418220000;1627446900000;1627425420000;1627454100000;1627415400000;1627446480000;;;0;4200;16380;7740;360;true;false
1627503420000;4405865;2021-07-29;30840;0;true;enhanced_confirmed;1627503420000;1627535280000;1627510620000;1627542480000;1627503000000;1627531740000;;;0;2400;23160;5280;1020;true;false
1627589700000;4405865;2021-07-30;32700;0;true;enhanced_confirmed;1627589700000;1627622640000;1627596900000;1627629840000;1627589160000;1627621860000;;;0;2700;21240;8760;240;true;false
1627674300000;4405865;2021-07-31;33180;0;true;enhanced_confirmed;1627674300000;1627708080000;1627681500000;1627715280000;1627673820000;1627708080000;;;0;3780;20160;9240;600;true;false
1627763280000;4405865;2021-08-01;32160;0;true;enhanced_confirmed;1627763280000;1627796040000;1627770480000;1627803240000;1627762740000;1627795920000;;;0;2160;23760;6240;600;true;false
1627851180000;4405865;2021-08-02;29340;0;true;enhanced_confirmed;1627851180000;1627881600000;1627858380000;1627888800000;1627849020000;1627885260000;;;0;3120;17160;9060;1080;true;false
1627939380000;4405865;2021-08-03;26760;0;true;enhanced_confirmed_final;1627939380000;1627966620000;1627946580000;1627973820000;1627937760000;1627968060000;;;0;1920;19740;5100;480;true;false
1628024340000;4405865;2021-08-04;29460;0;true;enhanced_confirmed_final;1628024340000;1628054460000;1628031540000;1628061660000;1628025120000;1628051400000;;;0;1980;18300;9180;660;true;false
